日付,方法,カテゴリ,カテゴリの内訳,支払元,入金先,品目,メモ,お店,通貨,収入,支出,振替,残高調整,通貨変換前の金額,集計の設定
2022-04-01,payment,食費,昼ご飯,-,-,,,-,（プレミアム会員で表示）,0,144,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-02,payment,食費,晩ご飯,-,-,,,-,（プレミアム会員で表示）,0,1030,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-03,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,1012,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-05,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,806,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-06,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,1010,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-06,payment,住まい,家電,-,-,,,-,（プレミアム会員で表示）,0,1080,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-06,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,467,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-07,payment,クルマ,ガソリン,-,-,,,-,（プレミアム会員で表示）,0,2000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-10,payment,美容・衣服,アクセサリー・小物,-,-,,,-,（プレミアム会員で表示）,0,5500,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-10,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,330,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-10,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,892,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-10,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,598,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-10,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,491,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-10,payment,クルマ,駐車場,-,-,,,-,（プレミアム会員で表示）,0,100,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-11,payment,クルマ,ガソリン,-,-,,,-,（プレミアム会員で表示）,0,2000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-12,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,38,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-13,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,748,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-14,payment,大型出費,家具,-,-,,,-,（プレミアム会員で表示）,0,1954,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-15,payment,住まい,家電,-,-,,,-,（プレミアム会員で表示）,0,39800,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-17,payment,食費,昼ご飯,-,-,,,-,（プレミアム会員で表示）,0,100,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-17,payment,住まい,家具,-,-,,,-,（プレミアム会員で表示）,0,1490,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-17,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,336,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-17,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,110,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-18,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,196,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-18,payment,日用雑貨,消耗品,-,-,,,-,（プレミアム会員で表示）,0,1829,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-18,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,149,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-20,payment,食費,晩ご飯,-,-,,,-,（プレミアム会員で表示）,0,500,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-21,income,給与所得,-,-,-,,,-,（プレミアム会員で表示）,203550,0,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-22,payment,その他,積立NISA,-,-,,,-,（プレミアム会員で表示）,0,44444,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-22,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,1002,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-23,payment,エンタメ,書籍,-,-,,,-,（プレミアム会員で表示）,0,1463,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-23,payment,エンタメ,漫画,-,-,,,-,（プレミアム会員で表示）,0,2730,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-24,payment,美容・衣服,洋服,-,-,,,-,（プレミアム会員で表示）,0,5281,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-24,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,215,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-24,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,432,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-25,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,348,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-26,payment,クルマ,ガソリン,-,-,,,-,（プレミアム会員で表示）,0,2000,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-26,payment,教育・教養,Udemy,-,-,,,-,（プレミアム会員で表示）,0,1600,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-27,payment,エンタメ,漫画,-,-,,,-,（プレミアム会員で表示）,0,63,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-27,payment,食費,食料品,-,-,,,-,（プレミアム会員で表示）,0,1095,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-27,payment,水道・光熱,電気料金,-,-,,,-,（プレミアム会員で表示）,0,1489,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-27,payment,水道・光熱,ガス料金,-,-,,,-,（プレミアム会員で表示）,0,5354,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
2022-04-27,payment,住まい,家賃,-,-,,,-,（プレミアム会員で表示）,0,68118,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）,（プレミアム会員で表示）
